OPERADORA_PAIS,Date,Population
CO,2019-04,50187407
CO,2019-05,50187407
CO,2019-06,50187407
CO,2019-07,50187407
CO,2019-08,50187407
CO,2019-09,50187407
CO,2019-10,50187407
CO,2019-11,50187407
CO,2019-12,50187407
CO,2020-01,50930663
CO,2020-02,50930663
CO,2020-03,50930663
CO,2020-04,50930663
CO,2020-05,50930663
CO,2020-06,50930663
CO,2020-07,50930663
CO,2020-08,50930663
CO,2020-09,50930663
CO,2020-10,50930663
CO,2020-11,50930663
CO,2020-12,50930663
CO,2021-01,51516562
CO,2021-02,51516562
CO,2021-03,51516562
CO,2021-04,51516562
CO,2021-05,51516562
CO,2021-06,51516562
CO,2021-07,51516562
CO,2021-08,51516562
CO,2021-09,51516562
CO,2021-10,51516562
CO,2021-11,51516562
CO,2021-12,51516562
CO,2022-01,51874024
CO,2022-02,51874024
CO,2022-03,51874024
CO,2022-04,51874024
CO,2022-05,51874024
CO,2022-06,51874024
CO,2022-07,51874024
CO,2022-08,51874024
CO,2022-09,51874024
CO,2022-10,51874024
CO,2022-11,51874024
CO,2022-12,51874024
CO,2023-01,52085168
CO,2023-02,52085168
CO,2023-03,52085168
CO,2023-04,52085168
CO,2023-05,52085168
CO,2023-06,52085168
CO,2023-07,52085168
CO,2023-08,52085168
CO,2023-09,52085168
CO,2023-10,52085168
CO,2023-11,52085168
CO,2023-12,52085168
CR,2018-01,5040734
CR,2018-02,5040734
CR,2018-03,5040734
CR,2018-04,5040734
CR,2018-05,5040734
CR,2018-06,5040734
CR,2018-07,5040734
CR,2018-08,5040734
CR,2018-09,5040734
CR,2018-10,5040734
CR,2018-11,5040734
CR,2018-12,5040734
CR,2019-01,5084532
CR,2019-02,5084532
CR,2019-03,5084532
CR,2019-04,5084532
CR,2019-05,5084532
CR,2019-06,5084532
CR,2019-07,5084532
CR,2019-08,5084532
CR,2019-09,5084532
CR,2019-10,5084532
CR,2019-11,5084532
CR,2019-12,5084532
CR,2020-01,5123105
CR,2020-02,5123105
CR,2020-03,5123105
CR,2020-04,5123105
CR,2020-05,5123105
CR,2020-06,5123105
CR,2020-07,5123105
CR,2020-08,5123105
CR,2020-09,5123105
CR,2020-10,5123105
CR,2020-11,5123105
CR,2020-12,5123105
CR,2021-01,5153957
CR,2021-02,5153957
CR,2021-03,5153957
CR,2021-04,5153957
CR,2021-05,5153957
CR,2021-06,5153957
CR,2021-07,5153957
CR,2021-08,5153957
CR,2021-09,5153957
CR,2021-10,5153957
CR,2021-11,5153957
CR,2021-12,5153957
CR,2022-01,5180829
CR,2022-02,5180829
CR,2022-03,5180829
CR,2022-04,5180829
CR,2022-05,5180829
CR,2022-06,5180829
CR,2022-07,5180829
CR,2022-08,5180829
CR,2022-09,5180829
CR,2022-10,5180829
