ref_area.label,time,obs_value
GT,2023,2.705
GT,2023,2.705
GT,2023,2.705
GT,2023,2.705
GT,2023,2.705
GT,2023,2.705
GT,2023,2.705
GT,2023,2.705
GT,2023,2.705
GT,2023,2.705
